ContactName,Expenditure
Horst Kloss,117483.39
Jose Pavarotti,115673.39
Roland Mendel,113236.68
Patricia McKenna,57317.39
Paula Wilson,52245.9
Mario Pontes,34101.15
Maria Larsson,32555.55
Jean Fresni�re,32203.9
Philip Cramer,31745.75
L�cia Carvalho,30226.1
Karl Jablonski,29073.45
Peter Franken,28722.71
Christina Berglund,26968.15
Georg Pipps,26259.95
Pascale Cartrain,24704.4
Laurence Lebihan,23850.95
Carlos Hern�ndez,23611.58
Elizabeth Lincoln,22607.7
Renate Messner,21282.02
Michael Holz,20033.2
